CustomerID,Revenue_given,Frequency,Recency,United Kingdom or Not
12346,0.0,2,326,1
12348,1797.24,31,76,0
12349,1757.55,73,19,0
12350,334.4,17,311,0
12352,1545.41,95,73,0
12353,89.0,4,204,0
12354,1079.4,58,233,0
12355,459.4,13,96,0
12356,2811.43,59,23,0
12358,1168.06,19,3,0
12360,2662.06,129,53,0
12361,189.9,10,288,0
12363,552.0,23,36,0
12364,1313.1,85,41,0
12365,320.69,23,292,0
12367,168.9,11,212,0
12370,3545.69,167,52,0
12371,1887.96,63,30,0
12372,1298.04,52,35,0
12373,364.6,14,342,0
12374,742.9300000000001,33,26,0
12375,455.42,18,11,0
12377,1628.12,77,316,0
12379,850.29,41,82,0
12380,2720.56,105,22,0
12381,1803.96,91,0,0
12383,1839.31,100,9,0
12384,566.16,30,29,0
12386,401.9,10,192,0
12388,2780.66,100,16,0
12390,549.84,32,80,0
12391,460.89,100,22,0
12393,1582.6000000000001,64,39,0
12394,1272.48,27,153,0
12395,2998.28,159,5,0
12397,2409.9,126,136,0
12398,1635.6599999999999,85,46,0
12399,1108.65,59,2,0
12401,84.3,5,99,0
12402,225.6,11,324,0
12403,409.7,6,50,0
12405,1710.39,54,149,0
12406,3280.75,108,22,0
12407,1708.1200000000001,77,50,0
12408,2842.57,113,128,0
12410,681.0799999999999,28,38,0
12412,1226.88,61,75,0
12413,694.15,40,9,0
12414,562.41,18,188,0
12418,668.58,34,113,0
12420,600.39,29,153,0
12421,806.27,46,16,0
12422,803.5600000000001,39,169,0
12423,1849.11,126,89,0
12424,1760.96,30,163,0
12425,777.2,36,78,0
12426,582.73,30,195,0
12427,708.37,35,12,0
12430,256.4,11,44,0
12434,765.19,54,85,0
12436,509.01,16,335,0
12438,2906.85,98,15,0
12442,172.06,12,181,0
12445,133.4,4,22,0
12446,1002.3100000000001,58,58,0
12447,476.49,26,67,0
12448,449.45,22,45,0
12450,197.88,8,174,0
12452,428.57,23,17,0
12453,707.09,43,135,0
12454,5.684341886080802e-14,30,54,0
12455,2466.86,90,74,0
12456,3153.89,129,45,0
12457,1917.78,68,0,0
12458,947.4,38,72,0
12461,826.88,35,125,0
12462,1124.01,72,19,0
12463,1303.63,88,6,0
12464,1212.05,29,11,0
12465,733.89,51,18,0
12468,724.0400000000001,40,144,0
12475,723.38,36,54,0
12478,680.99,36,181,0
12479,477.3,35,12,0
12480,3281.63,154,29,0
12483,2327.13,81,18,0
12488,1298.66,55,10,0
12489,334.93,15,162,0
12491,460.40000000000003,26,333,0
12492,263.21000000000004,20,106,0
12493,416.79,23,166,0
12494,1139.3500000000001,84,10,0
12497,1043.1,14,82,0
12498,403.70000000000005,23,22,0
12501,2089.68,160,162,0
12503,-1126.0,1,192,0
12504,114.0,15,19,0
12505,-4.5,1,38,0
12506,73.5,23,233,0
12507,1258.06,23,135,0
12508,398.27,69,27,0
12509,176.5,7,285,0
12510,982.5699999999999,33,143,0
12512,138.03,34,244,0
12513,586.79,36,85,0
12514,1017.68,51,268,0
12515,383.7,16,354,0
12516,1312.06,26,4,0
12518,2056.89,124,0,0
12519,340.84,18,153,0
12520,2582.51,155,37,0
12521,599.68,38,143,0
12522,192.72,12,40,0
12523,1745.57,110,9,0
12526,1316.66,71,54,0
12527,348.71000000000004,18,82,0
12528,1922.28,95,10,0
12530,1623.63,68,30,0
12531,125.22,17,15,0
12532,349.83000000000004,16,90,0
12534,1089.18,63,336,0
12535,716.35,34,92,0
12538,363.95,21,60,0
12541,981.18,52,60,0
12544,355.7,20,60,0
12545,1000.39,50,76,0
12546,1141.5,70,47,0
12547,207.79999999999998,8,198,0
12548,95.19999999999999,5,167,0
12550,964.83,57,80,0
12551,168.0,10,358,0
12552,437.82,20,40,0
12556,603.71,121,33,0
12558,1.0658141036401503e-14,22,120,0
12559,536.21,22,311,0
12560,2101.39,111,101,0
12561,238.85,16,69,0
12564,456.9,21,262,0
12565,131.17,10,282,0
12566,346.7,20,73,0
12571,519.61,34,40,0
12572,1004.72,62,48,0
12573,160.54000000000002,28,228,0
12574,218.45,11,316,0
12576,1306.98,89,130,0
12577,595.4,148,243,0
12578,2753.36,120,22,0
12579,410.72,31,74,0
12580,415.7,24,159,0
12581,197.71,15,40,0
12582,511.36,22,239,0
12584,1893.95,126,10,0
12585,1982.81,97,223,0
12586,179.94000000000003,12,18,0
12587,144.0,4,301,0
12588,214.89999999999998,10,40,0
12589,646.68,35,29,0
12591,452.84999999999997,26,318,0
12592,437.6,18,66,0
12593,418.09999999999997,21,109,0
12594,3320.2200000000003,119,47,0
12596,618.27,27,36,0
12598,3002.68,133,10,0
12599,1032.58,62,33,0
12600,2581.04,65,29,0
12601,569.5600000000001,29,39,0
12602,153.12,12,0,0
12603,739.1999999999999,3,22,0
12604,254.18,16,80,0
12609,1126.85,60,79,0
12610,2057.99,111,23,0
12611,1193.32,65,53,0
12612,643.59,21,58,0
12613,3218.98,163,58,0
12614,315.6,20,160,0
12615,2291.19,105,72,0
12616,657.25,36,86,0
12617,355.53,42,60,0
12618,177.31,11,22,0
12619,3214.81,95,17,0
12620,1339.41,92,15,0
12622,180.1,11,233,0
12623,305.1,18,129,0
12624,641.13,38,107,0
12625,2614.32,91,5,0
12628,769.61,43,19,0
12630,1270.88,64,10,0
12631,640.5,31,58,0
12633,2140.63,103,0,0
12635,1689.18,101,31,0
12638,671.69,39,182,0
12639,486.1,22,239,0
12640,1174.58,53,24,0
12641,185.9,10,116,0
12642,1013.26,47,26,0
12643,3344.64,24,39,0
12644,477.91,31,305,0
12645,1755.38,74,110,0
12646,1346.97,45,50,0
12648,318.05,21,125,0
12649,603.71,33,35,0
12650,314.44,20,181,0
12651,114.0,9,100,0
12652,914.53,51,9,0
12653,2209.85,43,149,0
12654,601.98,38,11,0
12657,1152.06,56,12,0
12658,686.05,36,19,0
12659,91.68,5,60,0
12660,245.1,13,12,0
12665,61.75,4,9,0
12666,-227.44,2,360,0
12667,620.13,33,0,0
12669,1607.73,102,3,0
12670,2986.15,94,11,0
12672,225.89999999999998,10,330,0
12673,610.52,42,242,0
12674,1919.31,91,12,0
12676,1331.39,45,25,0
12679,1058.67,56,0,0
12680,862.81,52,31,0
12684,2283.63,105,25,0
12685,2863.08,157,29,0
12689,1247.61,72,26,0
12690,389.01,16,206,0
12691,1035.8,32,0,0
12693,830.96,41,5,0
12694,869.67,37,71,0
12695,582.1,27,108,0
12697,939.02,43,22,0
12701,797.71,53,36,0
12702,219.0,12,20,0
12703,274.7,22,71,0
12704,2220.84,90,23,0
12707,603.42,33,292,0
12708,2616.32,174,37,0
12710,1130.57,79,202,0
12713,848.55,38,89,0
12715,353.86,21,107,0
12716,1053.49,69,134,0
12717,980.98,56,33,0
12718,238.25,19,72,0
12719,608.1,42,30,0
12721,2628.98,164,80,0
12722,904.33,57,3,0
12723,725.07,69,17,0
12724,1031.41,53,39,0
12726,2609.1,124,29,0
12728,836.33,46,39,0
12729,453.01,26,114,0
12732,236.26000000000002,12,180,0
12733,383.95,22,235,0
12734,110.39999999999999,4,353,0
12735,779.5699999999999,43,192,0
12736,234.0,4,39,0
12739,1013.04,38,79,0
12740,427.6,27,153,0
12743,546.43,134,135,0
12750,275.88,15,277,0
12754,2949.12,65,160,0
12755,2203.2,6,160,0
12756,112.07999999999998,4,87,0
12758,2791.59,97,117,0
12759,1531.44,95,53,0
12762,1898.52,69,26,0
12763,494.08,18,139,0
12764,1693.88,45,317,0
12769,1143.6,32,239,0
12770,1351.45,12,211,0
12772,892.47,55,30,0
12775,1351.24,67,18,0
12778,804.23,51,20,0
12781,707.72,30,22,0
12782,2273.32,107,150,0
12783,1603.87,86,54,0
12784,574.42,59,10,0
12785,305.71,15,151,0
12787,463.66,20,10,0
12789,91.85,4,214,0
12790,324.92,21,193,0
12792,400.53999999999996,25,257,0
12793,545.48,24,100,0
12794,860.41,45,54,0
12795,430.48,14,19,0
12797,194.18,17,361,0
12802,412.58,26,95,0
12808,483.65000000000003,28,126,0
12809,484.36,26,169,0
12811,514.85,31,261,0
12812,229.64000000000001,15,45,0
12814,125.92,2,102,0
12815,1063.46,47,148,0
12816,572.2,29,177,0
12817,166.04,4,282,0
12818,1517.88,16,179,0
12820,942.34,59,45,1
12821,92.72,6,96,1
12822,918.98,47,71,1
12823,1759.5,5,75,1
12824,397.12,25,30,1
12826,1468.1200000000001,94,60,1
12827,430.15000000000003,25,45,1
12828,1018.71,56,113,1
12829,253.05,12,162,1
12831,215.05,9,263,1
12832,383.03,27,152,1
12833,417.38,24,146,1
12834,312.38,18,310,1
12836,2612.86,175,30,1
12837,134.1,12,174,1
12838,683.13,123,182,1
12840,2714.27,116,65,1
12842,1118.99,34,71,1
12843,1680.76,108,66,1
12844,325.96000000000004,52,60,1
12845,354.09,27,268,1
12847,871.54,91,23,1
12849,1050.8899999999999,51,121,1
12851,135.18,50,245,1
12852,299.75,20,291,1
12853,1881.7,84,96,1
12854,1289.15,115,6,1
12857,1106.4,46,69,1
12863,504.2,6,53,1
12864,147.12,3,139,1
12865,1548.07,96,27,0
12866,559.12,26,341,0
12868,1607.0600000000002,107,9,1
12871,380.64,11,85,1
12872,599.97,66,327,1
12873,374.0,4,310,1
12875,343.2300000000001,2,144,1
12876,2218.02,85,58,0
12877,1535.77,154,25,1
12878,841.64,49,19,1
12879,552.5699999999999,12,45,1
12881,298.0,7,98,1
12882,1463.04,13,10,1
12883,703.47,42,25,1
12884,309.05,7,1,1
12885,1158.27,72,32,1
12886,1351.09,86,66,1
12888,313.77,7,96,1
12890,380.46999999999997,82,24,1
12891,331.0,3,157,1
12893,188.14,34,90,1
12895,347.3,24,43,1
12897,216.5,4,38,1
12902,138.68,10,265,1
12904,509.58,72,19,1
12906,2919.81,63,12,1
12908,246.0,4,0,1
12909,2128.83,96,40,1
12910,3075.04,75,6,1
12912,1662.3,24,15,1
12913,2483.63,50,16,1
12915,363.65,22,149,1
12916,2982.35,109,139,1
12917,594.0,2,277,1
12919,1301.44,52,2,1
12920,164.23,28,18,1
12922,405.38,28,337,1
12923,176.97,29,183,1
12924,929.95,31,1,1
12925,694.05,45,75,1
12928,2062.7000000000003,84,6,1
12929,105.1,9,93,1
12930,409.9,27,79,1
12933,606.28,107,25,1
12935,2156.45,130,27,1
12936,1012.9,63,17,1
12937,1504.27,120,16,1
12938,114.14,9,26,1
12940,876.29,103,47,1
12942,683.9,75,132,1
12943,-3.75,1,38,1
12944,604.51,30,243,1
12945,462.95,23,289,1
12947,1407.29,103,65,1
12948,2053.7,118,17,1
12950,1843.0,23,25,1
12951,1042.07,65,164,1
12952,1382.8400000000001,80,44,1
12953,329.85,17,10,1
12956,108.07,19,191,1
12962,266.39,16,114,1
12963,1841.03,96,11,1
12965,771.91,109,31,1
12966,160.18,10,10,1
12967,1194.75,33,69,1
12968,135.95,5,113,1
12970,452.24,151,301,1
12974,144.8,8,198,1
12976,738.6,22,5,1
12977,39.239999999999995,9,186,1
12981,372.21999999999997,20,60,1
12982,377.2,34,36,1
12984,97.5,4,19,1
12985,1215.6200000000001,78,29,1
12987,545.0,30,74,1
12988,535.32,92,293,1
12990,409.5,13,121,1
12991,503.76,31,24,1
12993,414.76,27,24,1
12994,902.22,73,32,1
12995,200.72,5,78,1
12997,1197.94,67,1,1
